shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control,cylinder,same_xx,factory_prepolish_deep_defect,2,33000,0,0,400,73.24052621615938,0.04301306614202036,0.14344760249276026,83.75,95.25,100.0,100.0,83.75,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,33000,0,1,400,77.92504682812955,0.02568257415871291,0.0868050062230896,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,33000,0,2,400,77.99999999548481,0.024089111175712823,0.08060720633240848,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,33000,0,3,400,77.99999999548481,0.029143370992920293,0.09845409621282318,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,33000,0,4,400,77.99999999548481,0.030984721395566992,0.10547535052344056,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,33000,1,0,400,77.73956220406193,0.021579738855577322,0.07261318731745275,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,33000,1,1,400,77.86582238336014,0.028528697005836046,0.09643122745820239,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,33000,1,2,400,74.04850681776219,0.04007756854417384,0.13481087107064274,85.5,100.0,100.0,99.25,85.5,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,33000,1,3,400,70.81234025041171,0.043329450870681595,0.14304059071088143,73.25,100.0,100.0,100.0,73.25,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,33000,1,4,400,77.99999999040355,0.0250486810709194,0.08512001299454167,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,33000,2,0,400,77.74577342733991,0.022388992067227675,0.07639391662230535,100.0,100.0,100.0,100.0,100.0,100.0,100.0
